Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13
1348986357339754497 2021-01-12 19:03:05 +0530 <sikhnews247> sikhnews247: asmeet_s: #TakeBackFarmLaws #IndiaSupportFarmerProtest #SpeakUpForFarmers #IStandWithFarmers #standwithfarmerschallenge #KisaanMajdoorEktaZindabad #KisaanEktaZindabad #FarmersProtest #westandforfarmers #supportourfarmers #StandWithFarmers…  https://t.co/tpiTrBEELN,,,,,,,,,,,,
1348964676370128896 2021-01-12 17:36:56 +0530 <sikhnews247> sikhnews247: asmeet_s: #TakeBackFarmLaws #IndiaSupportFarmerProtest #SpeakUpForFarmers #IStandWithFarmers #standwithfarmerschallenge #KisaanMajdoorEktaZindabad #KisaanEktaZindabad #FarmersProtest #westandforfarmers #supportourfarmers #StandWithFarmers…  https://t.co/tpiTrBn3Uf,,,,,,,,,,,,
1348013014650400768 2021-01-10 02:35:22 +0530 <sikhnews247> sikhnews247: asmeet_s: #TakeBackFarmLaws #IndiaSupportFarmerProtest #SpeakUpForFarmers #IStandWithFarmers #standwithfarmerschallenge #KisaanMajdoorEktaZindabad #KisaanEktaZindabad #FarmersProtest #westandforfarmers #supportourfarmers #StandWithFarmers…  https://t.co/8mHj68fhPH,,,,,,,,,,,,
1347997020167008262 2021-01-10 01:31:48 +0530 <sikhnews247> asmeet_s: #TakeBackFarmLaws #IndiaSupportFarmerProtest #SpeakUpForFarmers #IStandWithFarmers #standwithfarmerschallenge #KisaanMajdoorEktaZindabad #KisaanEktaZindabad #FarmersProtest #westandforfarmers #supportourfarmers #StandWithFarmers #iamwithfarmers  https://t.co/OhWpXEVrxh,,,,,,,,,,,,
1347777980962107399 2021-01-09 11:01:25 +0530 <sikhnews247> sikhnews247: asmeet_s: #TakeBackFarmLaws #IndiaSupportFarmerProtest #SpeakUpForFarmers #IStandWithFarmers #standwithfarmerschallenge #KisaanMajdoorEktaZindabad #KisaanEktaZindabad #FarmersProtest #westandforfarmers #supportourfarmers #StandWithFarmers…  https://t.co/8mHj68fhPH,,,,,,,,,,,,
1347207956681486337 2021-01-07 21:16:21 +0530 <Saheb43518888> #26thJanWithFarmers  We stand for farmers #26thJanWithFarmers  #26thJanWithFarmers  #farmerparade #westandforfarmers,,,,,,,,,,,,
1347038944035299329 2021-01-07 10:04:45 +0530 <sikhnews247> asmeet_s: #TakeBackFarmLaws #IndiaSupportFarmerProtest #SpeakUpForFarmers #IStandWithFarmers #standwithfarmerschallenge #KisaanMajdoorEktaZindabad #KisaanEktaZindabad #FarmersProtest #westandforfarmers #supportourfarmers #StandWithFarmers #iamwithfarmers  https://t.co/OhWpXEVrxh,,,,,,,,,,,,
1347023874257465344 2021-01-07 09:04:52 +0530 <asmeet_s> #TakeBackFarmLaws #IndiaSupportFarmerProtest #SpeakUpForFarmers #IStandWithFarmers  #standwithfarmerschallenge #KisaanMajdoorEktaZindabad  #KisaanEktaZindabad #FarmersProtest #westandforfarmers #supportourfarmers  #StandWithFarmers  #iamwithfarmers  https://t.co/OOERAWttsT,,,,,,,,,,,,
1342104225069760513 2020-12-24 19:15:57 +0530 <GuitaristIndian> Bas aahi chakar ch modi nahi manda 😠 @GippyGrewal @diljitdosanjh #KisanAandolan #westandforfarmers #kisanandolan  https://t.co/QRcEEDmzoE,,,,,,,,,,,,
1341607262247395330 2020-12-23 10:21:11 +0530 <asmeet_s> #FarmersProtestingOnFarmersDay #TakeBackFarmLaws #IndiaSupportFarmerProtest #SpeakUpForFarmers #IStandWithFarmers  #standwithfarmerschallenge #KisaanMajdoorEktaZindabad  #KisaanEktaZindabad #FarmersProtest #westandforfarmers #supportourfarmers  #StandWithFarmers  #iamwithfarmers,,,,,,,,,,,,
1341294173811437569 2020-12-22 13:37:05 +0530 <HariHusanpreet> ਜਿੰਨੀ ਜਿੰਨੀ ਵੈਰੀ ਅ‍‌ਤ ਚਕਣੀ ਉਨਾ ਓਨਾ ਸਿਦਕਾਂ ਨੇ ਪਕਣਾ🤞  #FarmerLivesMatter #westandforfarmers #FarmersProtest #KisaanMajdoorEktaZindabad  https://t.co/fXFs4VjrCW,,,,,,,,,,,,
1341096950435758083 2020-12-22 00:33:24 +0530 <Shadabakhta1988> @sushant_says Last year in this Cold we were sit at Shaheen Bagh for CAA Protests , today we are sit  and protesting For Farming Act... Don't know what next...?? #KisanEktaZindaabaad #westandforfarmers,,,,,,,,,,,
"1341009548568477704 2020-12-21 18:46:05 +0530 <Parminder51ngh> Eh ta ohi gall hoi    ""tera mooh te tera mera mooh te mera"" ...  Saanu ""saropa"" (ਸਿਰੋਪਾਓ) di ehmiyat ate isda satkaar samjana ate samjona jroor chahida....🙏🏼 #kisaanmajdoorektazindabad  #westandforfarmers #sikh",,,,,,,,,,,,
1340960757349904384 2020-12-21 15:32:13 +0530 <KamalBatth9> 😂😂#westandforfarmers #FarmersProtest,,,,,,,,,,,,
1340660962471280640 2020-12-20 19:40:56 +0530 <5aabN> ਪ੍ਰਧਾਨ ਮੰਤਰੀ Narendra Modi ਦੀ ਹਰ ਗੱਲ ਨੂੰ ਕਿਸਾਨ ਨੇਤਾ Jagjit Singh Dallewal  ਨੇ ਦਿਤੇ ਸਿੱਧੇ ਜਵਾਬ। #JagjitSinghDalewal #NarendraModi #5aabnow #westandforfarmers   https://t.co/fzhSrRCoap,,,,,,,,,,,,
1339882774937755648 2020-12-18 16:08:42 +0530 <KamalBatth9> 🚜🚜✊#FarmersProtest #westandforfarmers  https://t.co/wkCLWcgwf8,,,,,,,,,,,,
1339788699333103616 2020-12-18 09:54:52 +0530 <preettaspuria> kisani jindabad  #standforfarmerschallenge  #westandforfarmers  #ShameonModiGovt #trector2tweeter,,,,,,,,,,,,
1339623350767812608 2020-12-17 22:57:50 +0530 <farmer_sidhu> #westandforfarmers  कुत्ते के बच्चों की आंखें 7 दिन में खुल जाती है पर अंध भक्तो का पिछले 6 साल से वही हाल है!!,,,,,,,,,,,,
1339595558311227397 2020-12-17 21:07:24 +0530 <Amrinde51085099> ਅਸੀਂ ਜਿੱਤਦੇ ਹਾਂ ਜਾਂ ਮਰ ਜਾਂਦੇ ਹਾਂ  ਪਰ ਅਸੀਂ ਗੋਡੇ ਨਹੀਂ ਟੇਕਦੇ!! #SupportFarmersProtest #westandforfarmers,,,,,,,,,,,,
1339502517475037185 2020-12-17 14:57:41 +0530 <Sandeep83255359> #bycott_pm_narendra_modi_challenge #Boycott_JioSaavn #BoycottAmbaniAdani #BoycottRelianceProducts #BoycottJioSIM #FarmersProtest #westandforfarmers @diljitdosanjh @KanganaTeam @BawaRanjit  https://t.co/tiPzDoDkjU,,,,,,,,,,,,
1339443300764303362 2020-12-17 11:02:23 +0530 <Baljind60984477> #westandforfarmers,,,,,,,,,,,,
1339299842921664512 2020-12-17 01:32:20 +0530 <sbirgidda> 'Mott'-of-Democracy-inIndia (MODI) #westandforfarmers #farmerprotest #wesupportfarmers #DilliChalo #SupremeCourtStand4Farmers #FarmersAgainstCorporates #kisanandolan,,,,,,,,,,,,
1339233852506722304 2020-12-16 21:10:06 +0530 <asmeet_s> #istandwithfarmers #standwithfarmerschallenge #KisaanMajdoorEktaZindabad  #KisaanEktaZindabad #FarmersProtest #westandforfarmers #supportourfarmers  #StandWithFarmers  #iamwithfarmers,,,,,,,,,,,,
1339058419274194944 2020-12-16 09:33:00 +0530 <HarryBhullar91> #SupremeCourtStand4Farmers   #BoycottJio #BoycottJioSIM #BoycottAmbaniAdani #FarmersAgainstCorporates #westandforfarmers #kisanandolan #KisanMajdoorEktaZindabad,,,,,,,,,,,,
1338926677825470464 2020-12-16 00:49:30 +0530 <SheikhZ97135144> #westandforfarmers 🙏🙏🙏🙏🙏🙏🙏 #weagainstblackbill2020 🙌🙌🙌🙌🙌🙌🙌 #miyabhaikosalam 👍👍👍👍👍👍👍  https://t.co/VKcOk9SlR8,,,,,,,,,,,,
1338828760896819200 2020-12-15 18:20:25 +0530 <YadDhaliwal7> ##westandforfarmers #agriculture #FarmersProstests ##kissanmajdoorektazindabad,,,,,,,,,,,,
1338756727496306689 2020-12-15 13:34:11 +0530 <bindybrar1> Farmers Protest in Cologne, Germany. 🌾🚜  Vielen Dank an alle die da waren! 🙏🏽   #westandforfarmers = West And For Farmers   #kisaan #farmersprotest #nofarmersnofood #standwithfarmers #kisaanmajdoorektazindabad  #Tractor2Twitter #Germany  https://t.co/20sXSEcq3y,,,,,,,,,,,
1338746751851790336 2020-12-15 12:54:33 +0530 <anbhol_saab> Farmers Protest in Cologne, Germany. 🌾🚜  #westandforfarmers,,,,,,,,,,,
1338742526333710336 2020-12-15 12:37:45 +0530 <garymahal70> This is what u called a Dictatorship #ModiSellingFarmers #TakeBackAntiFarmLaws #WeStandForFarmers,,,,,,,,,,,,
1338730687348654080 2020-12-15 11:50:42 +0530 <CrazySniper5> #WeStandForFarmers #NoFarmerNoFoos #FarmerProtest #Tractor2Twitter  #TakeBackFarmBills,,,,,,,,,,,,
1338534239675944962 2020-12-14 22:50:06 +0530 <ManpreetBrar899> #WeStandForFarmers #FarmerProtest  #Tractor2Twitter  #FarmersProtest #HumanRights4farmers  Speak up for farmers...,,,,,,,,,,,,
1338481396189302790 2020-12-14 19:20:07 +0530 <flyingstarsgrp> We Stand with Farmers NO FARMERS NO FOOD!!!  Our Website:  https://t.co/s1AqX3YmJd Mail us: info@flyingstars.co Call Us: +91 9949454848  #WeSupportFarmers  #SupportFarmersProtest  #westandforfarmers #westandforfarmers #NoFarmersNoFood  #IndianFarmersNeedJustice  #FarmersProtest  https://t.co/9PnljqMhPJ,,,,,,,,,,,,
1338435701021564928 2020-12-14 16:18:32 +0530 <Punjab2000music> Farmers Protest in Cologne, Germany. 🌾🚜  Vielen Dank an alle die da waren! 🙏🏽   #westandforfarmers = West And For Farmers   #kisaan #farmersprotest #nofarmersnofood #standwithfarmers #kisaanmajdoorektazindabad  #Tractor2Twitter #Germany  https://t.co/GKlNFHHsK4,,,,,,,,,,,
1338428529168420864 2020-12-14 15:50:02 +0530 <gurpree02454960> #WeSupportFarmers #KisanMajdoorEktaZindabad #westandforfarmers,,,,,,,,,,,,
1338410618487853056 2020-12-14 14:38:52 +0530 <Deepu59506982> #westandforfarmers,,,,,,,,,,,,
1338340199693086722 2020-12-14 09:59:03 +0530 <gujjar_manvir> #westandforfarmers,,,,,,,,,,,,
1338309354437537794 2020-12-14 07:56:29 +0530 <zaildaarjass79> #Boycott_JioSavan  #WeStandForFarmers  SARBHAT DA BALAH 🙏🏻  https://t.co/Ger1mxehgq,,,,,,,,,,,,
1338261663334559744 2020-12-14 04:46:58 +0530 <HargurjitSing10> #weStandforfarmers  #FarmersProtests2020 #WeUnitedForFarmers #BoycottJioSaavn  #TakeBackFarmLaws2020  https://t.co/WMczYsOI0x,,,,,,,,,,,,
1338155915480948736 2020-12-13 21:46:46 +0530 <HarshdeepkKaur> @birsinghmusic @IamAmrinderGill @diljitdosanjh @AmmyVirk @rupikaur_ @KaurBmusic @kamaljitneeru @udhoke @iSharryMann @ZoraWorldwide #westandforfarmers #TakeBackFarmLaws,,,,,,,,,,,,
1338075416184012802 2020-12-13 16:26:54 +0530 <Sukhdee61161865> #westandforfarmers,,,,,,,,,,,,
1338072716566360066 2020-12-13 16:16:10 +0530 <HashmiMashuk> Poverty is the greatest teacher who encourages us to move forward. . . #education #Poverty #truelines #biggestachievement #किसान_कमल_काटेगा #FarmersProtest #westandforfarmers #poetryworld,,,,,,,,,,,,
1338066614449627136 2020-12-13 15:51:55 +0530 <Sribhen2> 🙏🙏🙏  #westandforfarmers,,,,,,,,,,,,
1338044786327003136 2020-12-13 14:25:11 +0530 <GaganGu12306609> #Tractor2ਟਵਿੱਟਰ  #westandforfarmers  https://t.co/tUiHAwYFOU,,,,,,,,,,,,
1338021212341997568 2020-12-13 12:51:30 +0530 <KhosaSarmukh> #westandforfarmers,,,,,,,,,,,,
1338009946919555073 2020-12-13 12:06:45 +0530 <gurLminder> Galat panga lai leya Modi shah ne. #westandforfarmers #FarmersProtestDelhi #Tractor2Twitter,,,,,,,,,,,,
1337956036762873857 2020-12-13 08:32:31 +0530 <ErRajinders12> #PM_सुस्त_टोल_मुफ़्त #SupportFarmersProtest #westandforfarmers @iGuR_P,,,,,,,,,,,,
1337934806131347456 2020-12-13 07:08:10 +0530 <hshokerr> How can we stay silent when we have revolution in our blood? #WeStandForFarmers #KissanMajdoorEktaZindabad  https://t.co/nyBvK1nOZ8,,,,,,,,,,,,
1337933048172539904 2020-12-13 07:01:10 +0530 <YodhpreetA> #westandforfarmers #TakeBackAntiFarmLaws #FarmersProtest #KisanMajdoorEktaZindabaad #farmerprotest,,,,,,,,,,,,
1337839559216775168 2020-12-13 00:49:41 +0530 <M_atul_rajendra> सगळ्यात महत्वाचं जे लोक कृषीविधेयकाला समर्थन दर्शवित आहेत; त्यांना एवढं कळू नये कि एकटा पक्ष सोडला तर त्या विधेयकाला जवळ-जवळ सगळेच विरोध करत आहेत.  म्हणजे याचा अर्थ असा कि बाकी सगळे येडे आणि सरकार मात्र शहाणं.  #कृषीविधेयकाचा_निषेध  #westandforfarmers,,,,,,,,,,,,
1337793162518036480 2020-12-12 21:45:19 +0530 <RakkarKaranvir> #westandforfarmers,,,,,,,,,,,,
1337786606829199362 2020-12-12 21:19:16 +0530 <KamalBatth9> खेती पर ख़तरा अभी टला नहीं है  अम्बानी-अड़ानी से दूरी MSP है ज़रूरी   जब तक कृषि बिल की विदाई नहीं  तब तक कोई ढिलाई नहीं #westandforfarmers,,,,,,,,,,,,
1337763875328909312 2020-12-12 19:48:56 +0530 <paramsi52417355> Modi hitler came to power in democracy and how democracy created a monster @KanganaDaily @narendramodi @aajtak @ZeeNews   #democracy  #FarmersAct2020  #HumanRightsDay  #westandforfarmers  https://t.co/x4oLC3dOXx,,,,,,,,,,,,
1337754871722741761 2020-12-12 19:13:10 +0530 <DhaliwalRonny> @Amanpre23493160 ##WeStandForFarmers## @BawaRanjit,,,,,,,,,,,,
1337694153405313024 2020-12-12 15:11:53 +0530 <Angelkaur777> Please support farmers @ArnabGofficial7 @sudhirchaudhary @aajtak #TakeBackFarmLaws #IndiaSupportFarmerProtest #SpeakUpForFarmers #IStandWithFarmers  #standwithfarmerschallenge #KisaanEktaZindabad #FarmersProtest #westandforfarmers #supportourfarmers  #iamwithfarmers  https://t.co/Rm3o9KDWeg,,,,,,,,,,,,
1337669113657716736 2020-12-12 13:32:24 +0530 <harmeet9911> #kisanmazdurektazindabaad  #westandforfarmers  #NoFarmersNoFood  https://t.co/4zihn0GWoI,,,,,,,,,,,,
1337656414332805120 2020-12-12 12:41:56 +0530 <harleenk_sandhu> #FarmerProtest2020 #westandforFarmers #supportfarmersprotest,,,,,,,,,,,,
1337656203787206656 2020-12-12 12:41:06 +0530 <harleenk_sandhu> #westandforFarmers #supportfarmersprotest,,,,,,,,,,,,
1337629402708885506 2020-12-12 10:54:36 +0530 <jashn_nagra> #PM_सुस्त_टोल_मुफ़्त #12_दिसंबर_को_टोल_प्लाजा_बंद #FarmerProtests #KisaanmazdoorEktaZindabaad #westandforfarmers #ModiKutta   🚜🙏🌾,,,,,,,,,,,,
1337626611726778369 2020-12-12 10:43:30 +0530 <HarshdeepkKaur> #westandforfarmers #TakeBackFarmBills #greenribbonmovement  @KissanC,,,,,,,,,,,,
1337616124528254976 2020-12-12 10:01:50 +0530 <asmeet_s> #TakeBackFarmLaws #IndiaSupportFarmerProtest #SpeakUpForFarmers #IStandWithFarmers  #standwithfarmerschallenge #KisaanMajdoorEktaZindabad  #KisaanEktaZindabad #FarmersProtest #westandforfarmers #supportourfarmers  #StandWithFarmers  #iamwithfarmers,,,,,,,,,,,,
1337608599619608577 2020-12-12 09:31:56 +0530 <RaiPremjit> #westandforfarmers,,,,,,,,,,,,
1337598631264747520 2020-12-12 08:52:19 +0530 <HarshdeepkKaur> #westandforfarmers #TakeBackFarmBills,,,,,,,,,,,,
1337586150731513858 2020-12-12 08:02:44 +0530 <akhwinder_gill> #westandforfarmers,,,,,,,,,,,,
1337538963737702400 2020-12-12 04:55:13 +0530 <sabjyot> #westandforfarmers,,,,,,,,,,,,
1337528232841764866 2020-12-12 04:12:35 +0530 <ArshdeepChauh12> #westandforfarmers,,,,,,,,,,,,
1337528180094070784 2020-12-12 04:12:22 +0530 <Jagdeep41938168> Hatja dilliye hatja.... nhi hataadenge #standforfarmers #standforfarmerschallenge #ShameonModiGovt #westandforfarmers #trector2tweeter,,,,,,,,,,,,
1337525473400774656 2020-12-12 04:01:37 +0530 <SharanGrewal16> #WeStandforFarmers#in Punjab ❤️,,,,,,,,,,,,
1337495291445047297 2020-12-12 02:01:41 +0530 <kmohpreet> Sunlo bhakto!!! #westandforfarmers #DafaKroJioNu #HumanRights4farmers,,,,,,,,,,,,
1337476395056951298 2020-12-12 00:46:36 +0530 <asmeet_s> #TakeBackFarmLaws #IndiaSupportFarmerProtest #SpeakUpForFarmers #IStandWithFarmers  #standwithfarmerschallenge #KisaanMajdoorEktaZindabad  #KisaanEktaZindabad #FarmersProtest #westandforfarmers #supportourfarmers  #StandWithFarmers  #iamwithfarmers,,,,,,,,,,,,
1337445211849408513 2020-12-11 22:42:41 +0530 <ramanpreet_97> Sb to upr kirsani🌾 #westandforfarmers 🌾💪💪,,,,,,,,,,,,
1337413703507955713 2020-12-11 20:37:29 +0530 <Dalwind33825902> Punjabis are in their mood. ‘Munda apne vyah de vch nachda fire’# #SupportFarmars #BoycottAmbaniAdani #westandforfarmers,,,,,,,,,,,,
1337412466570092548 2020-12-11 20:32:34 +0530 <KaranGr37845771> #westandforfarmers,,,,,,,,,,,,
1337410987482378243 2020-12-11 20:26:41 +0530 <dilderaje> #westandforfarmers,,,,,,,,,,,,
1337397265011363845 2020-12-11 19:32:10 +0530 <BHULLARJASVIR2> #Tractor2Twitter  #WeStandForFarmers Beware of Anna Hajare  https://t.co/tXFpKHe1w3,,,,,,,,,,,,
1337393435519533057 2020-12-11 19:16:57 +0530 <bikkpanesar> Watch the protest site through the eyes of those who have directly seen, felt and understood it from ground zero.  #WeStandForFarmers,,,,,,,,,,,
1337385118105821184 2020-12-11 18:43:54 +0530 <savi99118229> #westandforfarmers,,,,,,,,,,,,
1337361655131324416 2020-12-11 17:10:40 +0530 <Jagdeep8586> @KanganaTeam Yes you are BJP  chamchi  #FarmersPortest #BoycottAdaniAmbani #WeStandForFarmers,,,,,,,,,,,,
1337361623573352448 2020-12-11 17:10:32 +0530 <SavWalia> @UrminSingh Haha jiven Meri massi lagdi hai Jacinda #WeStandForFarmers,,,,,,,,,,,,
1337350167356469249 2020-12-11 16:25:01 +0530 <Gurpree96433019> #Westandforfarmers #tractor2twitter  https://t.co/gLgjF35GtM,,,,,,,,,,,,
1337344681324072960 2020-12-11 16:03:13 +0530 <JattanaLovi> #BoycotAmbaniAdani #WeUnitedForFarmers #farmersprotest #farmerprotest #westandforfarmers  https://t.co/wekSSbDzOs,,,,,,,,,,,,
1337334527425978370 2020-12-11 15:22:52 +0530 <Gurpree20121833> #WeUnitedForFarmers  #WeStandForFarmers,,,,,,,,,,,,
1337329053829722113 2020-12-11 15:01:07 +0530 <Mandeep36332922> @SahajRandhawa01 ohh 🙄🙄🙄 main ahve #westandforfarmers ki jana c thnx g dasan lai 🙏🏻🙏🏻,,,,,,,,,,,,
1337326119046041602 2020-12-11 14:49:27 +0530 <Harman848> #westandforfarmers,,,,,,,,,,,,
1337322533066981376 2020-12-11 14:35:12 +0530 <Harbiemann1> #Westandforfarmers#,,,,,,,,,,,,
1337319402417614848 2020-12-11 14:22:46 +0530 <msssaini753> #Westandforfarmers  https://t.co/wiSbJbCSzw,,,,,,,,,,,,
1337312651622412288 2020-12-11 13:55:56 +0530 <Gagande12493059> #westandforfarmers.   #weunitedforfarmers     #kisaanmajdoorektazindabaad.                         #isupportfarmers.          #TakeBackFarmBills2020,,,,,,,,,,,,
1337302704067108864 2020-12-11 13:16:25 +0530 <Mandeep36332922> #westandforfarmers,,,,,,,,,,,,
1337302585200394240 2020-12-11 13:15:56 +0530 <Jagdeep85914440> #westandforfarmers,,,,,,,,,,,,
1337300790508064768 2020-12-11 13:08:48 +0530 <Jagdeep41938168> 🤘🤘🤘🤘 #standforfarmers #standforfarmerschallenge #westandforfarmers #ShameonModiGovt #trector2tweeter,,,,,,,,,,,,
1337300254266363904 2020-12-11 13:06:41 +0530 <Mandeep36332922> #Westandforfarmers  https://t.co/D5qJEJhqK6,,,,,,,,,,,,
1337292791529934849 2020-12-11 12:37:01 +0530 <preettaspuria> kisani jindabad  #standforfarmerschallenge  #westandforfarmers  #ShameonModiGovt #trector2tweeter,,,,,,,,,,,,
1337285635724341249 2020-12-11 12:08:35 +0530 <Jagdeep41938168> See  Me syana ho gya  😂  #standforfarmerschallenge  #westandforfarmers  #ShameonModiGovt #trector2tweeter,,,,,,,,,,,,
1337280626009886721 2020-12-11 11:48:41 +0530 <JaswalKriti> #Westandforfarmers,,,,,,,,,,,,
1337277343035887616 2020-12-11 11:35:38 +0530 <itsmanizz> #westandforfarmers,,,,,,,,,,,,
1337267563768631296 2020-12-11 10:56:47 +0530 <SukhpreetS1984> #westandforfarmers,,,,,,,,,,,,
1337267289171742720 2020-12-11 10:55:41 +0530 <SukhpreetS1984> #westandforfarmers,,,,,,,,,,,,
1337256333993779202 2020-12-11 10:12:09 +0530 <Sandhu02Parm> #westandforfarmers,,,,,,,,,,,,
1337250632663646208 2020-12-11 09:49:30 +0530 <NavjinderK> @Bamber_JDK Jroor jitange #WeStandForFarmers,,,,,,,,,,,,
